iter	RMSE
307	10270.74807
308	10242.25478
309	10237.52943
310	10204.39222
311	10172.19634
312	10159.00893
313	10141.24916
314	10106.88007
315	10104.43854
316	10076.46667
317	10035.91724
318	10006.95835
319	9987.497345
320	9965.476887
321	9938.641878
322	9919.819309
323	9896.788618
324	9874.912745
325	9872.249863
326	9851.765134
327	9826.759796
328	9802.552505
329	9777.30478
330	9748.797867
331	9743.157503
332	9723.453591
333	9707.406918
334	9683.265096
335	9664.552087
336	9646.487831
337	9623.83193
338	9607.002345
339	9571.758225
340	9547.952743
341	9545.771483
342	9524.575931
343	9497.696671
344	9495.760626
345	9462.652499
346	9439.995065
347	9423.077783
348	9401.432428
349	9380.692776
350	9361.636427
351	9346.546643
352	9325.777338
353	9308.961915
354	9290.606694
355	9273.806242
356	9236.585524
357	9217.92429
358	9198.006585
359	9185.571567
360	9168.864138
361	9153.171944
362	9127.779124
363	9113.074267
364	9091.438097
365	9057.029119
366	9035.323035
367	9016.977256
368	9001.967782
369	8983.809088
370	8966.299434
371	8963.83191
372	8944.365004
373	8929.984646
374	8919.540457
375	8903.106815
376	8879.978834
377	8856.657682
378	8839.523528
379	8829.426664
380	8810.396236
381	8801.199225
382	8781.855483
383	8753.378032
384	8752.012827
385	8731.211542
386	8716.936974
387	8701.073691
388	8669.570401
389	8643.650666
390	8641.544731
391	8640.23863
392	8622.762676
393	8613.817129
394	8587.808033
395	8585.47364
396	8584.216794
397	8568.839656
398	8559.397573
399	8539.335511
400	8538.31802
401	8534.829685
402	8532.129445
403	8518.531858
404	8505.764639
405	8486.59
406	8472.055516
407	8460.326927
408	8437.64864
409	8417.750193
410	8389.343485
411	8360.258051
412	8359.032348
413	8338.810956
414	8320.228679
415	8304.113658
416	8291.201632
417	8270.013315
418	8264.900556
419	8256.347686
420	8240.64099
421	8224.774147
422	8209.27301
423	8190.03851
424	8166.942363
425	8150.066777
426	8138.809077
427	8137.772336
428	8111.423304
429	8097.663518
430	8089.611676
431	8078.586568
432	8045.281364
433	8028.959394
434	8001.633786
435	7987.657334
436	7969.055345
437	7966.263083
438	7945.805781
439	7931.5333
440	7928.162707
441	7907.384532
442	7883.040473
443	7864.523347
444	7850.741298
445	7839.503963
446	7821.203066
447	7808.909896
448	7790.250432
449	7776.704016
450	7755.062439
451	7740.268939
452	7731.82164
453	7714.664258
454	7708.008057
455	7696.22246
456	7686.736116
457	7679.35167
458	7653.849409
459	7628.722604
460	7617.647282
461	7600.419608
462	7582.396808
463	7566.471646
464	7541.766473
465	7520.513187
466	7505.729118
467	7485.768141
468	7470.541995
469	7454.805439
470	7443.336391
471	7426.255933
472	7413.288742
473	7404.03321
474	7393.159197
475	7374.491315
476	7359.89528
477	7351.955591
478	7334.321765
479	7311.899659
480	7305.744425
481	7294.742297
482	7293.524761
483	7279.589157
484	7262.299546
485	7249.599438
486	7237.671104
487	7223.694889
488	7211.484198
489	7209.947813
490	7195.389316
491	7180.789471
492	7157.514858
493	7156.343567
494	7143.111422
495	7128.288334
496	7113.898135
497	7101.955554
498	7094.290013
499	7079.806056
